selectionsort,10000,60.0
selectionsort,10000,72.0
selectionsort,10000,38.0
selectionsort,10000,36.0
selectionsort,10000,34.0
selectionsort,10000,33.0
selectionsort,10000,33.0
selectionsort,10000,36.0
selectionsort,10000,32.0
selectionsort,10000,33.0
selectionsort,10000,32.0
selectionsort,10000,32.0
selectionsort,10000,31.0
selectionsort,10000,29.0
selectionsort,10000,31.0
selectionsort,10000,33.0
selectionsort,10000,34.0
selectionsort,10000,33.0
selectionsort,10000,32.0
selectionsort,10000,33.0
selectionsort,160000,558.0
selectionsort,160000,513.0
selectionsort,160000,541.0
selectionsort,160000,522.0
selectionsort,160000,483.0
selectionsort,160000,477.0
selectionsort,160000,471.0
selectionsort,160000,480.0
selectionsort,160000,480.0
selectionsort,160000,469.0
selectionsort,160000,484.0
selectionsort,160000,479.0
selectionsort,160000,490.0
selectionsort,160000,480.0
selectionsort,160000,478.0
selectionsort,160000,504.0
selectionsort,160000,512.0
selectionsort,160000,499.0
selectionsort,160000,507.0
selectionsort,160000,488.0
selectionsort,1000000,2981.0
selectionsort,1000000,3110.0
selectionsort,1000000,3095.0
selectionsort,1000000,3302.0
selectionsort,1000000,3180.0
selectionsort,1000000,2981.0
selectionsort,1000000,2907.0
selectionsort,1000000,2908.0
selectionsort,1000000,2898.0
selectionsort,1000000,2897.0
selectionsort,1000000,2919.0
selectionsort,1000000,2934.0
selectionsort,1000000,2903.0
selectionsort,1000000,2895.0
selectionsort,1000000,2900.0
selectionsort,1000000,2928.0
selectionsort,1000000,2909.0
selectionsort,1000000,2894.0
selectionsort,1000000,2906.0
selectionsort,1000000,2896.0
selectionsort,2250000,6509.0
selectionsort,2250000,7235.0
selectionsort,2250000,7964.0
selectionsort,2250000,7018.0
selectionsort,2250000,6618.0
selectionsort,2250000,6522.0
selectionsort,2250000,6584.0
selectionsort,2250000,6613.0
selectionsort,2250000,7615.0
selectionsort,2250000,7030.0
selectionsort,2250000,6665.0
selectionsort,2250000,6512.0
selectionsort,2250000,6496.0
selectionsort,2250000,6512.0
selectionsort,2250000,6649.0
selectionsort,2250000,6870.0
selectionsort,2250000,6956.0
selectionsort,2250000,6490.0
selectionsort,2250000,6495.0
selectionsort,2250000,6486.0
selectionsort,3240000,9449.0
selectionsort,3240000,9336.0
selectionsort,3240000,9293.0
selectionsort,3240000,9516.0
selectionsort,3240000,9676.0
selectionsort,3240000,9721.0
selectionsort,3240000,9867.0
selectionsort,3240000,9505.0
selectionsort,3240000,9530.0
selectionsort,3240000,9808.0
selectionsort,3240000,9305.0
selectionsort,3240000,9413.0
selectionsort,3240000,9657.0
selectionsort,3240000,9440.0
selectionsort,3240000,9360.0
selectionsort,3240000,9846.0
selectionsort,3240000,10088.0
selectionsort,3240000,9627.0
selectionsort,3240000,9477.0
selectionsort,3240000,10182.0
bubblesort,10000,153.0
bubblesort,10000,160.0
bubblesort,10000,104.0
bubblesort,10000,109.0
bubblesort,10000,120.0
bubblesort,10000,107.0
bubblesort,10000,118.0
bubblesort,10000,108.0
bubblesort,10000,118.0
bubblesort,10000,109.0
bubblesort,10000,120.0
bubblesort,10000,108.0
bubblesort,10000,120.0
bubblesort,10000,110.0
bubblesort,10000,121.0
bubblesort,10000,108.0
bubblesort,10000,119.0
bubblesort,10000,109.0
bubblesort,10000,118.0
bubblesort,10000,110.0
bubblesort,160000,2182.0
bubblesort,160000,2234.0
bubblesort,160000,2084.0
bubblesort,160000,2086.0
bubblesort,160000,2086.0
bubblesort,160000,2091.0
bubblesort,160000,2097.0
bubblesort,160000,2102.0
bubblesort,160000,2133.0
bubblesort,160000,2227.0
bubblesort,160000,2257.0
bubblesort,160000,2094.0
bubblesort,160000,2097.0
bubblesort,160000,2071.0
bubblesort,160000,2085.0
bubblesort,160000,2054.0
bubblesort,160000,2116.0
bubblesort,160000,2098.0
bubblesort,160000,2091.0
bubblesort,160000,2099.0
bubblesort,1000000,13184.0
bubblesort,1000000,13145.0
bubblesort,1000000,13122.0
bubblesort,1000000,13124.0
bubblesort,1000000,13588.0
bubblesort,1000000,13112.0
bubblesort,1000000,13147.0
bubblesort,1000000,13122.0
bubblesort,1000000,13160.0
bubblesort,1000000,13150.0
bubblesort,1000000,13196.0
bubblesort,1000000,13178.0
bubblesort,1000000,13158.0
bubblesort,1000000,13117.0
bubblesort,1000000,13164.0
bubblesort,1000000,13958.0
bubblesort,1000000,13572.0
bubblesort,1000000,13191.0
bubblesort,1000000,13459.0
bubblesort,1000000,13665.0
bubblesort,2250000,30460.0
bubblesort,2250000,30084.0
bubblesort,2250000,30893.0
bubblesort,2250000,31711.0
bubblesort,2250000,31022.0
bubblesort,2250000,30768.0
bubblesort,2250000,29915.0
bubblesort,2250000,32065.0
bubblesort,2250000,31616.0
bubblesort,2250000,30807.0
bubblesort,2250000,31367.0
bubblesort,2250000,31319.0
bubblesort,2250000,31578.0
bubblesort,2250000,31701.0
bubblesort,2250000,31028.0
bubblesort,2250000,31559.0
bubblesort,2250000,31202.0
bubblesort,2250000,31524.0
bubblesort,2250000,31778.0
bubblesort,2250000,30228.0
bubblesort,3240000,43879.0
bubblesort,3240000,46177.0
bubblesort,3240000,45761.0
bubblesort,3240000,43752.0
bubblesort,3240000,45682.0
bubblesort,3240000,47120.0
bubblesort,3240000,46080.0
bubblesort,3240000,47166.0
bubblesort,3240000,46467.0
bubblesort,3240000,47075.0
bubblesort,3240000,46579.0
